X,Y,T
170372.5,708687.5,0.07148043544776783
170377.5,708687.5,0.05503578426165845
170377.5,708682.5,0.08023373857217386
170377.5,708677.5,0.07368677344413044
170377.5,708672.5,0.07368681617023931
170377.5,708667.5,0.07368681617023931
170377.5,708662.5,0.06976296108979696
170377.5,708657.5,0.05848579057278158
170377.5,708652.5,0.06407050876852693
170377.5,708647.5,0.06407047161827961
170377.5,708642.5,0.05742868923374722
170377.5,708637.5,0.056048838921517685
170377.5,708632.5,0.05570912039595832
170377.5,708627.5,0.05604887142054871
170377.5,708622.5,0.05992560075282505
170377.5,708617.5,0.0621520300190177
170377.5,708612.5,0.053713459888584225
170382.5,708612.5,0.05306427535470171
170387.5,708612.5,0.05274261603375585
170392.5,708612.5,0.05306427535470171
170397.5,708612.5,0.05274261603375585
